,Area,Street,Postal Code
82,Garki Area 1,Nassarawa Street,900241
83,Garki Area 1,Nnamdi Azikwe Way,900241
84,Garki Area 1,Ondo Street,900241
85,Garki Area 1,Oyo Street,900241
86,Garki Area 1,Sokoto Street,900241
87,Garki Area 1,Suleja Street,900241
88,Garki Area 1,Abakaliki Street,900242
89,Garki Area 2,Abakaliki Street,900242
90,Garki Area 2,Abuja Parks Way.,900242
91,Garki Area 2,Benin Street,900243
92,Garki Area 3,Benin Street,900243
93,Garki Area 3,Birnin Kebbi Street,900243
94,Garki Area 3,Cresentss River Street,900243
95,Garki Area 3,Funmilayo Ransomekuti Road Rd․,900243
96,Garki Area 3,Gongola Street,900243
97,Garki Area 3,Ibadan Street,900243
98,Garki Area 3,Ikare Street,900243
99,Garki Area 3,Jalingo Street,900243
100,Garki Area 3,Jos Street,900243
101,Garki Area 3,Katagun Street,900243
102,Garki Area 3,Kaura-Namoda Street,900243
103,Garki Area 3,Kazaure Street,900243
104,Garki Area 3,Moshood Abiola Way,900243
105,Garki Area 3,Mubi Street,900243
106,Garki Area 3,Nnewi Street,900243
107,Garki Area 3,Okigwe Street,900243
108,Garki Area 3,Orlu Street,900243
109,Garki Area 3,Oyo Street,900243
110,Garki Area 3,Tafawa Balewa Way,900243
111,Garki Area 3,Yenagoa Street,900243
112,Garki Area 3,Calabar Street,900244
113,Garki Area 7,Calabar Street,900244
114,Garki Area 7,Herbat-Macualay (S) Way,900244
115,Garki Area 7,Kam-Salem Street,900244
116,Garki Area 7,Muhammadu-Bahari Way,900244
117,Garki Area 7,Obafemi Awolowo Way,900244
118,Garki Area 7,Tafawa Balewa Way,900244
119,Garki Area 7,Yola Street,900244
120,Garki Area 7,Abeokuta Street,900245
121,Garki Area 8,Abeokuta Street,900245
122,Garki Area 8,Ile-Ife Street,900245
123,Garki Area 8,Ilorin Street,900245
124,Garki Area 8,Minna Street,900245
125,Garki Area 8,Muhammadu Buhari Way,900245
126,Garki Area 8,Ogbomosho Street,900245
127,Garki Area 8,Tafawa Balewa Way.,900245
128,Garki Area 8,Access Road Rd․,900246
129,Garki Area 10,Access Road Rd․,900246
130,Garki Area 10,Akure Street,900246
131,Garki Area 10,Borno Street,900246
132,Garki Area 10,Herbert Macaulay Way,900246
133,Garki Area 10,Idah Street,900246
134,Garki Area 10,Markui Street,900246
135,Garki Area 10,Mashood Abiola Way,900246
136,Garki Area 10,Muhammadu Buhari Way,900246
137,Garki Area 10,Olusegun Obasanjo Way.,900246
138,Garki Area 10,Ahmadu Bello Street,900247
139,Garki Area 11,Ahmadu Bello Street,900247
140,Garki Area 11,Birnin Kebbi StreetStreet,900247
141,Garki Area 11,Dutse Street,900247
142,Garki Area 11,Ekiti Street,900247
143,Garki Area 11,Lagos Cresent,900247
144,Garki Area 11,Moshood Abiola Way,900247
145,Garki Area 11,Nsukka Street,900247
146,Garki Area 11,Obafemi Awolowo Street,900247
147,Garki Area 11,Oka Akoko Street,900247
148,Garki Area 11,Oke Agbe Street,900247
149,Garki Area 11,Olusegun Abasanjo Way,900247
150,Garki Area 11,Port Harcourt Street,900247
151,Garki Area 11,S.L. Akintola BLV BLV.,900247
152,Garki Area 11,Sapele Street,900247
153,Garki Area 11,Shagamu Street,900247
154,Garki Area 11,Tafawa Balewa Way,900247
155,Garki Area 11,Uyo Cresent,900247
156,Garki Area 11,Warri Street,900247
157,Garki Area 11,Akore Cresent,900271
158,Maitama,Akore Cresent,900271
159,Maitama,Amsteam Street,900271
160,Maitama,Asa Street,900271
161,Maitama,Barawa Street,900271
162,Maitama,Cesteem Street,900271
163,Maitama,Challawa Cresent,900271
164,Maitama,Cuito Street,900271
165,Maitama,Komoe Cresent,900271
166,Maitama,Lake Cha Cresent,900271
167,Maitama,Limropo Street,900271
168,Maitama,Madeira Street,900271
169,Maitama,Ngadda Cresent,900271
170,Maitama,Nue Street,900271
171,Maitama,Ofiki Street,900271
172,Maitama,Ona Cresent,900271
173,Maitama,Onega Street,900271
174,Maitama,Ontario Cresent,900271
175,Maitama,Onwul Cresent,900271
176,Maitama,Orange Cresent,900271
177,Maitama,Osse Street,900271
178,Maitama,Punji Cresent,900271
179,Maitama,Rio Gaia Street,900271
180,Maitama,Rudolf Street,900271
181,Maitama,Sambreiro Cresent,900271
182,Maitama,Tana Street,900271
183,Maitama,Taraba Cresent,900271
184,Maitama,Usuma Street,900271
185,Maitama,Volta Cresent,900271
186,Maitama,Wuye Cresent,900271
187,Maitama,Yapa Street,900271
188,Maitama,Zaire Cresent,900271
189,Maitama,Zambezi Cresent,900271
190,Maitama,Zamfara Cresent,900271
191,Maitama,Aguyi Ironsi Street,900271
192,Maitama,Alvan Ikoko Way,900271
193,Maitama,Amazon Street,900271
194,Maitama,Batanji Cresent,900271
195,Maitama,Danube Street,900271
196,Maitama,Dep. Street,900271
197,Maitama,Erie Cresent,900271
198,Maitama,Euphrates Street,900271
199,Maitama,Gana Street,900271
200,Maitama,Ganges Street,900271
201,Maitama,Ibrahim Babangida Way,900271
202,Maitama,Inner Northern Express Way,900271
203,Maitama,Katsina Ala Cresent,900271
204,Maitama,Kunene Cresent,900271
205,Maitama,Lena Cresent,900271
206,Maitama,Mississippi Street,900271
207,Maitama,Murtala Mohd (N) Way,900271
208,Maitama,Nile Street,900271
209,Maitama,Nnamdi Azikwe Way,900271
210,Maitama,North Transit Way,900271
211,Maitama,Orinaco Cresent,900271
212,Maitama,Osun Street,900271
213,Maitama,Panama Street,900271
214,Maitama,Rhine Street,900271
215,Maitama,Rima Street,900271
216,Maitama,Ruwana Street,900271
217,Maitama,Sangha Street,900271
218,Maitama,Shasha Cresent,900271
219,Maitama,Shehu Shagari (N) Way,900271
220,Maitama,Shehu Yaradua Way,900271
221,Maitama,Tanganyika Street,900271
222,Maitama,Tennesse Cresent,900271
223,Maitama,Tubo Cresent,900271
224,Maitama,Uruguay Street,900271
225,Maitama,Vaal Street,900271
226,Maitama,Vananern Cresent,900271
227,Maitama,Vattern Street,900271
228,Maitama,Volga Street,900271
229,Maitama,Alvan Ikoku Way,900221
230,Three Arms Zone,Alvan Ikoku Way,900221
231,Three Arms Zone,Asokoro Ave.,900221
232,Three Arms Zone,Inner Northern Express Way,900221
233,Three Arms Zone,"Maitama Ave., Mississippi Street",900221
234,Three Arms Zone,Murtala Mohammed Exp (N) Way,900221
235,Three Arms Zone,Outhern Northern Express Way,900221
236,Three Arms Zone,Shehu Shagari (S) Way,900221
237,Three Arms Zone,Thames Street,900221
238,Three Arms Zone,Tigris Cresent,900221
239,Three Arms Zone,Yedsebam Street,900221
240,Three Arms Zone,Zambezi Cresent,900221
241,Three Arms Zone,Adetokunbo Ademola Cresent,900288
242,Wuse II,Adetokunbo Ademola Cresent,900288
243,Wuse II,Agadez Cresent,900288
244,Wuse II,Ahmadu Bello Way,900288
245,Wuse II,Alex Sandra Cresent,900288
246,Wuse II,Aminu Kano Cresent,900288
247,Wuse II,Baguy Street,900288
248,Wuse II,Bajul Street,900288
249,Wuse II,Bantyle Street,900288
250,Wuse II,Barosalem Street,900288
251,Wuse II,Beira Street,900288
252,Wuse II,Buchanan Cresent,900288
253,Wuse II,Bujmburra Street,900288
254,Wuse II,Cassabulanka Street,900288
255,Wuse II,Durban Street,900288
256,Wuse II,Fez Street,900288
257,Wuse II,Freetown Street,900288
258,Wuse II,Herbert Macualay Way,900288
259,Wuse II,Hombari Street,900288
260,Wuse II,Ibrahim Babangida Way,900288
261,Wuse II,Kampala Street,900288
262,Wuse II,Kumasi Street,900288
263,Wuse II,Libravile Cresent,900288
264,Wuse II,Lingu Cresent,900288
265,Wuse II,Lubito Cresent,900288
266,Wuse II,Madona Cresent,900288
267,Wuse II,Marakeshi Street,900288
268,Wuse II,Metel Street,900288
269,Wuse II,Moronvia Street,900288
270,Wuse II,Moshi Cresent,900288
271,Wuse II,Nairobi Cresent,900288
272,Wuse II,Northern Park Way,900288
273,Wuse II,Ojibuti Cresent,900288
274,Wuse II,Outher Northern Transit Way,900288
275,Wuse II,Partomuro Cresent,900288
276,Wuse II,Sani Abacha Way,900288
277,Wuse II,Sekondi Street,900288
278,Wuse II,Sir Kasim Ibrahim Way,900288
279,Wuse II,Sultan Abubakar Street,900288
280,Wuse II,Tarkwa Cresent,900288
281,Wuse II,Wanda Cresent,900288
282,Wuse II,Arugha Cresent,900281
283,Wuse Zone 1,Arugha Cresent,900281
284,Wuse Zone 1,Bulao Street,900281
285,Wuse Zone 1,Choma Street,900281
286,Wuse Zone 1,Delta Street,900281
287,Wuse Zone 1,Garowa Street,900281
288,Wuse Zone 1,Gondet Street,900281
289,Wuse Zone 1,Harper Cresent,900281
290,Wuse Zone 1,Humanbo Cresent,900281
291,Wuse Zone 1,Kaolack Street,900281
292,Wuse Zone 1,Kayes Street,900281
293,Wuse Zone 1,Kigali Street,900281
294,Wuse Zone 1,Massana Street,900281
295,Wuse Zone 1,Nouachchott Street,900281
296,Wuse Zone 1,Oran Street,900281
297,Wuse Zone 1,Sultan Abubakar Way,900281
298,Wuse Zone 1,Sunyani Street,900281
299,Wuse Zone 1,Umme Street,900281
300,Wuse Zone 1,Yanorach Street,900281
301,Wuse Zone 1,Angola Street,900282
302,Wuse Zone 2,Angola Street,900282
303,Wuse Zone 2,Bechar Street,900282
304,Wuse Zone 2,Burundi Street,900282
305,Wuse Zone 2,Faranmi Street,900282
306,Wuse Zone 2,Gabes Street,900282
307,Wuse Zone 2,Gaborone Street,900282
308,Wuse Zone 2,Kisiamu Street,900282
309,Wuse Zone 2,Khartoum Street,900282
310,Wuse Zone 2,Koforidua Street,900282
311,Wuse Zone 2,Korhogo Street,900282
312,Wuse Zone 2,Kribi Street,900282
313,Wuse Zone 2,Kumba Street,900282
314,Wuse Zone 2,Lavumisa Street,900282
315,Wuse Zone 2,Mambolo Street,900282
316,Wuse Zone 2,Michael Okpara Street,900282
317,Wuse Zone 2,Naimey Street,900282
318,Wuse Zone 2,Quagadougou Street,900282
319,Wuse Zone 2,Senanga Street,900282
320,Wuse Zone 2,Sultan Abubakar Street,900282
321,Wuse Zone 2,Tourggourt Street,900282
322,Wuse Zone 2,Abidjam Street,900283
323,Wuse Zone 3,Abidjam Street,900283
324,Wuse Zone 3,Al Fayyan Street,900283
325,Wuse Zone 3,Algeria Street,900283
326,Wuse Zone 3,Aswan Street,900283
327,Wuse Zone 3,Bamenda Street,900283
328,Wuse Zone 3,Casamank Cresent,900283
329,Wuse Zone 3,Conakry Street,900283
330,Wuse Zone 3,Diourbell Street,900283
331,Wuse Zone 3,Herbert Marcaulay Way,900283
332,Wuse Zone 3,Lubumbrasiru Street,900283
333,Wuse Zone 3,Lukulu Street,900283
334,Wuse Zone 3,Maputo Street,900283
335,Wuse Zone 3,Matadi Cresent,900283
336,Wuse Zone 3,Mosadishu Street,900283
337,Wuse Zone 3,Nampola Street,900283
338,Wuse Zone 3,Ndande Cresent,900283
339,Wuse Zone 3,Olusegun Obasanjo Way,900283
340,Wuse Zone 3,Safar Street,900283
341,Wuse Zone 3,Sultan Abukakar Way,900283
342,Wuse Zone 3,Yele Street,900283
343,Wuse Zone 3,Addis Ababa Street,900284
344,Wuse Zone 4,Addis Ababa Street,900284
345,Wuse Zone 4,Bencrat Street,900284
346,Wuse Zone 4,Constantins Street,900284
347,Wuse Zone 4,Farnah Street,900284
348,Wuse Zone 4,Herbert Macaulay (N) Way,900284
349,Wuse Zone 4,Hontserrado Street,900284
350,Wuse Zone 4,Ibrahim Babangida Way,900284
351,Wuse Zone 4,Kainiji Cresent,900284
352,Wuse Zone 4,Kasim Ibrahim Way,900284
353,Wuse Zone 4,Ladi Kwali Street,900284
354,Wuse Zone 4,Manzani Street,900284
355,Wuse Zone 4,Mexnes Street,900284
356,Wuse Zone 4,Mogadehu Street,900284
357,Wuse Zone 4,Portsad Street,900284
358,Wuse Zone 4,Safi Street,900284
359,Wuse Zone 4,Zuez Cresent,900284
360,Wuse Zone 4,Accra Street,900285
361,Wuse Zone 5,Accra Street,900285
362,Wuse Zone 5,Algiers Street,900285
363,Wuse Zone 5,Atarare Street,900285
364,Wuse Zone 5,Burundi Street,900285
365,Wuse Zone 5,Cabanda Street,900285
366,Wuse Zone 5,Dalaba Street,900285
367,Wuse Zone 5,Damathur Street,900285
368,Wuse Zone 5,Dambia Street,900285
369,Wuse Zone 5,Doula Street,900285
370,Wuse Zone 5,Hargeysa Street,900285
371,Wuse Zone 5,Herbert Macualay Way,900285
372,Wuse Zone 5,Khartoum Street,900285
373,Wuse Zone 5,Michael Okpara Street,900285
374,Wuse Zone 5,Mousassa Street,900285
375,Wuse Zone 5,Nnamdi Azikiwe Way,900285
376,Wuse Zone 5,Senanga Street,900285
377,Wuse Zone 5,Sokode Cresent,900285
378,Wuse Zone 5,Sultan Abubakar Way,900285
379,Wuse Zone 5,Winneba Street,900285
380,Wuse Zone 5,Abuja Parks Way,900286
381,Wuse Zone 6,Abuja Parks Way,900286
382,Wuse Zone 6,Angola Street,900286
383,Wuse Zone 6,Asamafa Street,900286
384,Wuse Zone 6,Berbera Street,900286
385,Wuse Zone 6,Beyla Street,900286
386,Wuse Zone 6,Bouake Street,900286
387,Wuse Zone 6,Coronour Street,900286
388,Wuse Zone 6,Dire-Dawa Street,900286
389,Wuse Zone 6,Dodama Street,900286
390,Wuse Zone 6,Harere Street,900286
391,Wuse Zone 6,Herbert Macualay Way,900286
392,Wuse Zone 6,Jimma Street,900286
393,Wuse Zone 6,Kasim Ibrahim Way,900286
394,Wuse Zone 6,Kelemie Street,900286
395,Wuse Zone 6,Kinshasha Street,900286
396,Wuse Zone 6,Magenta Street,900286
397,Wuse Zone 6,Makeni Street,900286
398,Wuse Zone 6,Massru Street,900286
399,Wuse Zone 6,Mbabane Street,900286
400,Wuse Zone 6,Nnamdi Azikiwa Exwy,900286
401,Wuse Zone 6,Rabat Street,900286
402,Wuse Zone 6,Sudan Street,900286
403,Wuse Zone 6,Tanga Street,900286
404,Wuse Zone 6,Tema Street,900286
405,Wuse Zone 6,Timbukku Street,900286
406,Wuse Zone 6,Yaounde Street,900286
407,Wuse Zone 6,Yunis Street,900286
408,Wuse Zone 6,Bamako Cresent,900287
409,Wuse Zone 7,Bamako Cresent,900287
410,Wuse Zone 7,Bambari Cresent,900287
411,Wuse Zone 7,Choma Street,900287
412,Wuse Zone 7,Huambo Cresent,900287
413,Wuse Zone 7,Hamper Cresent,900287
414,Wuse Zone 7,Lome Cresent,900287
415,Wuse Zone 7,Nigoma Street,900287
416,Wuse Zone 7,Nouahcholt Street,900287
417,Wuse Zone 7,Olusegun Obasanjo Way,900287
418,Wuse Zone 7,Sirasso Cresent,900287
419,Wuse Zone 7,Sunyani Street,900287
420,Ashara,2 Tudu,904108
421,Ashara,Ahuwye,904108
422,Ashara,Akapo,904108
423,Ashara,Angun Tunga,904108
424,Ashara,Angun Wakili,904108
425,Ashara,Angun Woji Woji,904108
426,Ashara,Ashara,904108
427,Ashara,Bassoni,904108
428,Ashara,Bodolo,904108
429,Ashara,Chekanci,904108
430,Ashara,Daganaruwa Bassa,904108
431,Ashara,Damakusa Gwari,904108
432,Ashara,Daniwayo,904108
433,Ashara,Eke,904108
434,Ashara,Gomani,904108
435,Ashara,Gorgbe,904108
436,Ashara,Gulo,904108
437,Ashara,Gwaji,904108
438,Ashara,Gwan auta,904108
439,Ashara,Huton,904108
440,Ashara,Janruwa,904108
441,Ashara,Kona Mada,904108
442,Ashara,Kpessili,904108
443,Ashara,Kukka,904108
444,Ashara,Kukka Bushe,904108
445,Ashara,Kundu Lele,904108
446,Ashara,Kunguni,904108
447,Ashara,Maikwari,904108
448,Ashara,Mumun,904108
449,Ashara,Nboni,904108
450,Ashara,Nzakpara,904108
451,Ashara,Padama,904108
452,Ashara,Puka,904108
453,Ashara,Pukafa,904108
454,Ashara,Rarra,904108
455,Ashara,Riwaza,904108
456,Ashara,Sabo Gari Gurara,904108
457,Ashara,Sadaba,904108
458,Ashara,Sharra,904108
459,Ashara,T. Sarki,904108
460,Ashara,Takuro Mallan,904108
461,Ashara,Tekpesse,904108
462,Ashara,Tudu Wada Mangu,904108.
463,Ashara,Azaya,904102
464,Dafa,Azaya,904102
465,Dafa,Dafa,904102
466,Dafa,Dafa SaboDaji,904102
467,Dafa,Galo,904102
468,Dafa,Gugwa,904102
469,Dafa,Kangon Adamu,904102
470,Dafa,Kpewuye,904102
471,Dafa,Kye,904102
472,Dafa,Puka,904102
473,Dafa,Tungan Galadima,904102
474,Dafa,Tungan Gani,904102
475,Dafa,Tungan Guli,904102
476,Dafa,Tungan Tofa,904102.
477,Dafa,Anini,904107
478,Gumbo,Anini,904107
479,Gumbo,Elle,904107
480,Gumbo,Gidan Duniya,904107
481,Gumbo,Gidan Makaniki,904107
482,Gumbo,Gumbo,904107
483,Gumbo,Kamadi,904107
484,Gumbo,Kwaita Hausa,904107
485,Gumbo,Lukoda,904107
486,Gumbo,Piri,904107
487,Gumbo,Shepikati,904107
488,Gumbo,Tusun Fulani,904107
489,Gumbo,Tutubwa,904107.
490,Gumbo,Chukuku,904104
491,Kilankwa,Chukuku,904104
492,Kilankwa,Kilankwa I,904104
493,Kilankwa,Kilankwa II,904104
494,Kilankwa,Petti,904104
495,Kilankwa,Sheda Galadima,904104
496,Kilankwa,Sheda Sarki,904104.
497,Kilankwa,Bonugo,904105
498,Kwali,Bonugo,904105
499,Kwali,Dafara,904105
500,Kwali,Ebo,904105
501,Kwali,Farakuti,904105
502,Kwali,Farakuti I,904105
503,Kwali,Farakuti II,904105
504,Kwali,Fulani,904105
505,Kwali,Kigbe,904105
506,Kwali,Koda,904105
507,Kwali,Kwaida Tsoho,904105
508,Kwali,Kwaita Sabo,904105
509,Kwali,Kwali,904105
510,Kwali,Lambata,904105
511,Kwali,Leda,904105
512,Kwali,Police Barracks,904105
513,Kwali,Rugan Mal. Idris,904105
514,Kwali,Rugan Rabo,904105
515,Kwali,Sarki,904105
516,Kwali,Yambabu,904105.
517,Kwali,Bako,904101
518,Pai,Bako,904101
519,Pai,Bobota,904101
520,Pai,Ceceyi,904101
521,Pai,Dabi,904101
522,Pai,Kuti Chichi,904101
523,Pai,Leleyi,904101
524,Pai,Leleyi Bassa,904101
525,Pai,Pai Fulani,904101
526,Pai,Pai Gwari,904101
527,Pai,Tatu,904101
528,Pai,Tukurwa,904101.
529,Pai,Adadu 1,904103
530,Yangoji,Adadu 1,904103
531,Yangoji,Adadu 11,904103
532,Yangoji,Bwoto,904103
533,Yangoji,Daka,904103
534,Yangoji,Ijah Dabuta,904103
535,Yangoji,Ijah Sarki,904103
536,Yangoji,Koroki,904103
537,Yangoji,Kuyi,904103
538,Yangoji,Nitse,904103
539,Yangoji,Sukuku,904103
540,Yangoji,Tampe,904103
541,Yangoji,Yangoji,904103.
542,Yangoji,Ebo,904106
543,Yebu,Ebo,904106
544,Yebu,Kigbe,904106
545,Yebu,Yebu,904106.
546,Yebu,(Ubosharu),904109
547,Wako,(Ubosharu),904109
548,Wako,Anguwar Baushe,904109
549,Wako,Awawa,904109
550,Wako,Azarachi,904109
551,Wako,Bukpe,904109
552,Wako,Chida,904109
553,Wako,Dangara,904109
554,Wako,Dapa,904109
555,Wako,Gadabiyu,904109
556,Wako,Kibuyi,904109
557,Wako,Sa'adu,904109
558,Wako,Sabon Gari,904109
559,Wako,Ubo Saidu,904109
560,Wako,Wako,904109
561,Wako,Yewuti,904109.
562,Abaji,Agyana,905101
563,Abaji,Bago,905101
564,Abaji,Bandagi,905101
565,Abaji,Dapala,905101
566,Abaji,Ebagi,905101
567,Abaji,Gbogbogo,905101
568,Abaji,Kebba,905101
569,Abaji,Manderegi,905101
570,Abaji,Nah. Tosho,905101
571,Abaji,Nahalati Sabo,905101
572,Abaji,Nuku,905101
573,Abaji,Panagana,905101
574,Abaji,Rimba,905101
575,Abaji,Uboshenu,905101
576,Abaji,Yawule,905101
577,Abaji,Abuja,905102
578,Yaba,Abuja,905102
579,Yaba,Adagba,905102
580,Yaba,Afo,905102
581,Yaba,Akori,905102
582,Yaba,Alampa,905102
583,Yaba,Allu,905102
584,Yaba,Ayaba,905102
585,Yaba,Bari-Bezi,905102
586,Yaba,Bazi-Bezi,905102
587,Yaba,Busga,905102
588,Yaba,Chakun,905102
589,Yaba,Chundugo,905102
590,Yaba,Dabbare,905102
591,Yaba,Dara,905102
592,Yaba,Dewu,905102
593,Yaba,Domi,905102
594,Yaba,Dumb,905102
595,Yaba,Ekki,905102
596,Yaba,Fakon Tando,905102
597,Yaba,Gadabiri,905102
598,Yaba,Gari,905102
599,Yaba,Gasakba,905102
600,Yaba,Gasukpa,905102
601,Yaba,Gawu,905102
602,Yaba,Gawun,905102
603,Yaba,Gidan Maisaye,905102
604,Yaba,Gurdi,905102
605,Yaba,Guruza,905102
606,Yaba,Gwanda,905102
607,Yaba,Gwona,905102
608,Yaba,Jamigbe,905102
609,Yaba,Kafako,905102
610,Yaba,Kpace,905102
611,Yaba,Kularida,905102
612,Yaba,Kutara,905102
613,Yaba,Kwago,905102
614,Yaba,Kwakwa,905102
615,Yaba,Kyawu,905102
616,Yaba,Lafia Yaba,905102
617,Yaba,Managi,905102
618,Yaba,Nadichi,905102
619,Yaba,Nagun,905102
620,Yaba,Nassarawa,905102
621,Yaba,Nowog,905102
622,Yaba,Nyembo,905102
623,Yaba,Pako Base,905102
624,Yaba,Panagu,905102
625,Yaba,Pandaji,905102
626,Yaba,Pankuru,905102
627,Yaba,Panpari,905102
628,Yaba,Piowe,905102
629,Yaba,Sabongida,905102
630,Yaba,Sarowo-Abdu,905102
631,Yaba,Selifulyu,905102
632,Yaba,Shadad,905102
633,Yaba,Soitan,905102
634,Yaba,Takpeshi,905102
635,Yaba,Talpa,905102
636,Yaba,Tanaga,905102
637,Yaba,Wapa,905102
638,Yaba,Yelwa,905102
639,Yaba,Yelwa Gawu,905102
640,Yaba,Zuwa,905102
641,Bwari,Bwari,901101
642,Bwari,Bwari,901001
643,Bwari,Kubwa,901002
644,Gwagwalada,Agota,902101
645,Gwagwalada,Akwayi,902101
646,Gwagwalada,Akyakyata,902101
647,Gwagwalada,Alu wamo,902101
648,Gwagwalada,Anguwar Hausawa,902101
649,Gwagwalada,Anguwar Sarki,902101
650,Gwagwalada,Atopi,902101
651,Gwagwalada,Auguwar-Madaki,902101
652,Gwagwalada,Bargada Bassa,902101
653,Gwagwalada,Basan Zuba,902101
654,Gwagwalada,Bassa,902101
655,Gwagwalada,Biyu,902101
656,Gwagwalada,Boka,902101
657,Gwagwalada,Chaboda,902101
658,Gwagwalada,Chitumu,902101
659,Gwagwalada,Chzako,902101
660,Gwagwalada,Dabagayi,902101
661,Gwagwalada,Dada,902101
662,Gwagwalada,Dada Gongo,902101
663,Gwagwalada,Dadabiri,902101
664,Gwagwalada,Damin Kara,902101
665,Gwagwalada,Dawaki,902101
666,Gwagwalada,Didan Tujura,902101
667,Gwagwalada,Diko,902101
668,Gwagwalada,Dikwa Gwari,902101
669,Gwagwalada,Dikwa Kotwa,902101
670,Gwagwalada,Dobi,902101
671,Gwagwalada,Doni,902101
672,Gwagwalada,Doruwa,902101
673,Gwagwalada,Eabodo,902101
674,Gwagwalada,Garin Godoso,902101
675,Gwagwalada,Gbadolo,902101
676,Gwagwalada,Gerin Angulu,902101
677,Gwagwalada,Gidan Ango,902101
678,Gwagwalada,Gidan Bala,902101
679,Gwagwalada,Gidan Dandu,902101
680,Gwagwalada,Gidan Gade,902101
681,Gwagwalada,Gidan Golo,902101
682,Gwagwalada,Gidan Yaro,902101
683,Gwagwalada,Goi,902101
684,Gwagwalada,Goi Sabo,902101
685,Gwagwalada,Gongo,902101
686,Gwagwalada,Gulupe,902101
687,Gwagwalada,Gurebare,902101
688,Gwagwalada,Gurfa Gongo,902101
689,Gwagwalada,Gurfata,902101
690,Gwagwalada,Gurfata Sabo,902101
691,Gwagwalada,Gwako,902101
692,Gwagwalada,Gwale,902101
693,Gwagwalada,Gwari,902101
694,Gwagwalada,Gwaywalada,902101
695,Gwagwalada,Gyabiri,902101
696,Gwagwalada,Hanagada Abdu,902101
697,Gwagwalada,Hanagada Bassa,902101
698,Gwagwalada,Ibbo,902101
699,Gwagwalada,Ibwa,902101
